video_name,condition,onset_time,offset_time,duration,response,added_TRs,movie_path
b7y36KyAIoI_120.mp4,1,0.500085899999988,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\b7y36KyAIoI_120.mp4
flickr-3-3-2-8-3-2-3-7-2833283237_47.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-3-3-2-8-3-2-3-7-2833283237_47.mp4
yt-OGAx__6iSTs_17.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-OGAx__6iSTs_17.mp4
yt-sWfgS1G-cr4_139.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-sWfgS1G-cr4_139.mp4
yt-gcN3azy8GDY_38.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-gcN3azy8GDY_38.mp4
flickr-0-5-6-9-8-9-0-8-4405698908_26.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-0-5-6-9-8-9-0-8-4405698908_26.mp4
yt-PWO7CMF5otY_336.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-PWO7CMF5otY_336.mp4
flickr-7-7-6-9-8-7-4-3-6077698743_33.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-7-7-6-9-8-7-4-3-6077698743_33.mp4
yt-UZjgD-xTz9Q_310.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-UZjgD-xTz9Q_310.mp4
IkTAuzVeD2Q_46.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\IkTAuzVeD2Q_46.mp4
flickr-2-1-6-6-7-1-1-2-16621667112_15.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-2-1-6-6-7-1-1-2-16621667112_15.mp4
yt-cUygizD21xo_35.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-cUygizD21xo_35.mp4
yt-1icEOZdgkVY_35.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-1icEOZdgkVY_35.mp4
yt-2Ks8gsK22PA_14.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-2Ks8gsK22PA_14.mp4
yt-fBN0EWsZbnk_14.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-fBN0EWsZbnk_14.mp4
flickr-2-0-5-7-0-2-3-3-4720570233_26.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-2-0-5-7-0-2-3-3-4720570233_26.mp4
yt-uFP2jKxjIwo_718.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-uFP2jKxjIwo_718.mp4
yt-Z02VjQcNxv0_5.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-Z02VjQcNxv0_5.mp4
yt-lTeHKYHiVcM_15.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-lTeHKYHiVcM_15.mp4
flickr-4-1-6-2-6-0-0-0-23041626000_1.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-4-1-6-2-6-0-0-0-23041626000_1.mp4
yt-2hSlu3FFKvY_8.mp4,0,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\crowd_videos_3000ms\yt-2hSlu3FFKvY_8.mp4
yt-a9HzBJRWEJw_101.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-a9HzBJRWEJw_101.mp4
flickr-1-0-3-5-1-1-0-6-2810351106_1.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-1-0-3-5-1-1-0-6-2810351106_1.mp4
yt-HT3D9Cpx8Lw_28.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-HT3D9Cpx8Lw_28.mp4
vine-Nononononono-twerking-weird-clapping-no-Kevin-Marshall-hHqMIJdWz7E_3.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\vine-Nononononono-twerking-weird-clapping-no-Kevin-Marshall-hHqMIJdWz7E_3.mp4
yt-o0tfI02ehDE_1.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-o0tfI02ehDE_1.mp4
yt-KZqqB7yoVYw_11.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-KZqqB7yoVYw_11.mp4
yt-M1SHOxaP24s_29.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-M1SHOxaP24s_29.mp4
yt-Jpw2EHf2-3s_508.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-Jpw2EHf2-3s_508.mp4
flickr-7-7-0-5-0-7-0-9-4177050709_33.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-7-7-0-5-0-7-0-9-4177050709_33.mp4
yt-ACR1T1nMR0E_57.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-ACR1T1nMR0E_57.mp4
yt-4GeYyT0lwQ0_20.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-4GeYyT0lwQ0_20.mp4
yt-MJMvM4DjVVY_67.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-MJMvM4DjVVY_67.mp4
yt-ieUSTTGb3P8_9.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-ieUSTTGb3P8_9.mp4
yt-vywVJ0J6Vlk_635.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-vywVJ0J6Vlk_635.mp4
yt-XTX0BNJrLcc_97.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-XTX0BNJrLcc_97.mp4
flickr-0-1-6-8-3-2-4-3-4401683243_31.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-0-1-6-8-3-2-4-3-4401683243_31.mp4
yt-eKsNke8uDhE_5.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-eKsNke8uDhE_5.mp4
flickr-6-2-2-9-2-0-1-2-5362292012_12.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-6-2-2-9-2-0-1-2-5362292012_12.mp4
yt-yQK3lr5cpSU_37.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-yQK3lr5cpSU_37.mp4
yt-K8ATZKxAgck_32.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-K8ATZKxAgck_32.mp4
yt-11lRVNynHq0_23.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-11lRVNynHq0_23.mp4
yt-2r4fsa-FerM_512.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-2r4fsa-FerM_512.mp4
yt-MMycfMcM9oM_297.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-MMycfMcM9oM_297.mp4
yt-_I70R4j_tjA_309.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-_I70R4j_tjA_309.mp4
yt-qrKK36byJ30_239.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-qrKK36byJ30_239.mp4
flickr-4-7-1-4-7-6-4-0-2447147640_28.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-4-7-1-4-7-6-4-0-2447147640_28.mp4
vine-MBwjdF6eU79_2.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\vine-MBwjdF6eU79_2.mp4
yt-BJa2Fs1UyZ0_71.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-BJa2Fs1UyZ0_71.mp4
yt-6RiK4Sg2tSY_75.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-6RiK4Sg2tSY_75.mp4
yt-9R3WOWjYHMs_3.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-9R3WOWjYHMs_3.mp4
gvztLkrmEIg_137.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\gvztLkrmEIg_137.mp4
yt-OurLBAGyI9c_16.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-OurLBAGyI9c_16.mp4
yt-SHe7vXXrv44_21.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\yt-SHe7vXXrv44_21.mp4
flickr-5-2-4-7-4-1-5-5-6952474155_71.mp4,1,0,0,0,0,0,C:\Users\cog-isik\Desktop\SIfMRI_eyetracking\videos\dyad_videos_3000ms\flickr-5-2-4-7-4-1-5-5-6952474155_71.mp4
